9,5745,5
9,5746,5
9,5747,5
2,5745,5
2,5746,5
2,5747,5
2,5750,5
10,5745,5
10,5746,5
10,5750,5
10,5751,5
10,5759,5
10,5761,5
11,5745,5
11,5774,5
12,5786,5
12,5787,5
11,5797,5
5,5774,5
5,5797,5
5,5745,5
5,5786,5
5,5799,5
5,5800,5
5,5746,5
6,5745,5
6,5746,5
6,5751,5
6,5774,5
6,5750,5
6,5767,5
7,5745,5
7,5748,5
7,5747,5
7,5750,5
7,5800,5
7,5797,5
3,5786,5
3,5799,5
3,5800,5
3,5746,5
3,5821,5
4,5745,5
4,5746,5
4,5747,5
8,5774,5
8,5797,5
8,5745,5
8,5786,5
13,5767,5
13,5745,5
13,5748,5
13,5747,5
14,5745,5
14,5746,5
14,5747,5
